;year;violent;murder;robbery;prisoners;afam;cauc;male;population;income;density;state;law
1161;1987;283.1;2;20;168;1.213.082;7.005.034;1.576.252;0.476967;12448.14;0.0049177;Wyoming;no
1162;1988;314;2.5;15.1;190;1.273.495;7.003.685;1.539.654;0.465098;12603.06;0.0047954;Wyoming;no
1163;1989;258.3;4.4;17.1;199;1.344.308;7.021.884;1.521.673;0.458377;13155.55;0.0047261;Wyoming;no
1164;1990;301.4;4.9;15.9;216;1.399.203;7.202.543;1.515.943;0.453401;13712.95;0.0046692;Wyoming;no
1165;1991;310.2;3.3;17.2;237;141.194;7.233.991;1.511.932;0.457739;13791.78;0.0047139;Wyoming;no
1166;1992;319.5;3.6;18;237;1.434.764;72.73;1.513.535;0.463491;13880.5;0.0047731;Wyoming;no
1167;1993;286.2;3.4;17.2;226;1.476.442;7.303.836;1.520.767;0.469033;13977.74;0.0048302;Wyoming;no
1168;1994;272.5;3.4;16.6;238;1.481.319;7.339.078;1.527.995;0.474982;14083.1;0.0048914;Wyoming;no
1169;1995;254.2;2.1;17.9;254;1.485.849;7.371.621;1.537.098;0.478447;14070.16;0.0049271;Wyoming;yes
1170;1996;249.7;3.3;20.4;289;1.521.814;7.385.796;1.544.601;0.480085;14032.23;0.004944;Wyoming;yes
1171;1997;255.2;3.5;17.7;310;1.527.818;7.392.731;15.494;0.480031;14790.98;0.0049434;Wyoming;yes
1172;1998;247.6;4.8;16.2;326;1.558.396;7.398.515;1.551.021;0.480045;15225.51;0.0049436;Wyoming;yes
1173;1999;232.3;2.3;15.4;327;1.613.004;7.404.952;1.548.013;0.479602;15765.07;0.004939;Wyoming;yes
